title,category,county,address,address2,zip,address_full
Bond Mart,"Grocery, Local",St Clair,1140 Bond Ave,"East St Louis, IL 62201",62201,"1140 Bond Ave, East St Louis, IL 62201"
Center Missouri Market,"Grocery, Local",St Clair,1501 Missouri Ave,"East St Louis, IL 62201",62201,"1501 Missouri Ave, East St Louis, IL 62201"
Country Market,"Grocery, Local",St Clair,140 Racehorse Dr,"East St Louis, IL 62205",62205,"140 Racehorse Dr, East St Louis, IL 62205"
County Line Quick Shop,"Grocery, Local",St Clair,2913 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2913 Camp Jackson Rd, East St Louis, IL 62206"
Crown Food Mart,"Grocery, Local",St Clair,2419 State St,"East St Louis, IL 62205",62205,"2419 State St, East St Louis, IL 62205"
Crown Mart,"Grocery, Local",St Clair,1901 Ridge Ave,"East St Louis, IL 62205",62205,"1901 Ridge Ave, East St Louis, IL 62205"
Dollar General,"Grocery, Local",St Clair,1653 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1653 Camp Jackson Rd, East St Louis, IL 62206"
Eddies Meat Market,"Grocery, Local",St Clair,1230 Kingshighway,"East St Louis, IL 62204",62204,"1230 Kingshighway, East St Louis, IL 62204"
El Ranchito Bar & Grill,"Grocery, Local",St Clair,2565 N 32nd St,"East St Louis, IL 62201",62201,"2565 N 32nd St, East St Louis, IL 62201"
El Serrito,"Grocery, Local",St Clair,5370 Collinsville Rd,"East St Louis, IL 62201",62201,"5370 Collinsville Rd, East St Louis, IL 62201"
Express Mart,"Grocery, Local",St Clair,3901 Waverly Ave,"East St Louis, IL 62204",62204,"3901 Waverly Ave, East St Louis, IL 62204"
Foodland,"Grocery, Local",Madison,5401 Collinsville Rd,"East St Louis, IL 62201",62201,"5401 Collinsville Rd, East St Louis, IL 62201"
Foods for Life,"Grocery, Local",St Clair,2203 Missouri Ave,"East St Louis, IL 62205",62205,"2203 Missouri Ave, East St Louis, IL 62205"
Garden Grill & Grocery,"Grocery, Local",St Clair,7200 State St,"East St Louis, IL 62203",62203,"7200 State St, East St Louis, IL 62203"
Gold Star Front Store,"Grocery, Local",St Clair,6900 Old Missouri Ave,"East St Louis, IL 62207",62207,"6900 Old Missouri Ave, East St Louis, IL 62207"
Heros Market 2,"Grocery, Local",St Clair,3711 Bunkum Rd,"East St Louis, IL 62204",62204,"3711 Bunkum Rd, East St Louis, IL 62204"
Highway 15 Market,"Grocery, Local",St Clair,1503 Missouri Ave,"East St Louis, IL 62201",62201,"1503 Missouri Ave, East St Louis, IL 62201"
Joseph S Humphrey Sr Grocery,"Grocery, Local",St Clair,419 N 81st St,"East St Louis, IL 62203",62203,"419 N 81st St, East St Louis, IL 62203"
M's Mart,"Grocery, Local",St Clair,7 S 15th St,"East St Louis, IL 62207",62207,"7 S 15th St, East St Louis, IL 62207"
Masad Liquor & Grocery,"Grocery, Local",St Clair,3323 Mississippi Ave,"East St Louis, IL 62206",62206,"3323 Mississippi Ave, East St Louis, IL 62206"
Merritt's Tree,"Grocery, Local",St Clair,851 St Cletus Dr,"East St Louis, IL 62206",62206,"851 St Cletus Dr, East St Louis, IL 62206"
Mi Tierra Mexican Store,"Grocery, Local",St Clair,3121 Collinsville Rd,"East St Louis, IL 62201",62201,"3121 Collinsville Rd, East St Louis, IL 62201"
Mike's Market,"Grocery, Local",St Clair,3300 McCasland Ave,"East St Louis, IL 62207",62207,"3300 McCasland Ave, East St Louis, IL 62207"
Mor for Less,"Grocery, Local",St Clair,6122 Forest Blvd,"East St Louis, IL 62204",62204,"6122 Forest Blvd, East St Louis, IL 62204"
N&M Alps,"Grocery, Local",St Clair,800 Upper Cahokia Rd,"East St Louis, IL 62206",62206,"800 Upper Cahokia Rd, East St Louis, IL 62206"
National Noodle,"Grocery, Local",St Clair,1122 State St,"East St Louis, IL 62201",62201,"1122 State St, East St Louis, IL 62201"
Neighbors Marketplace,"Grocery, Local",St Clair,1001 N 15th St,"East St Louis, IL 62205",62205,"1001 N 15th St, East St Louis, IL 62205"
Palace Food Market,"Grocery, Local",St Clair,4705 State St,"East St Louis, IL 62205",62205,"4705 State St, East St Louis, IL 62205"
Pops II,"Grocery, Local",St Clair,1219 Kingshighway,"East St Louis, IL 62204",62204,"1219 Kingshighway, East St Louis, IL 62204"
Q Mart Grocery,"Grocery, Local",St Clair,1616 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1616 Camp Jackson Rd, East St Louis, IL 62206"
Quality Value Mart,"Grocery, Local",St Clair,5851 Bond Ave,"East St Louis, IL 62207",62207,"5851 Bond Ave, East St Louis, IL 62207"
Quick Stop Food,"Grocery, Local",St Clair,5819 State St,"East St Louis, IL 62203",62203,"5819 State St, East St Louis, IL 62203"
Quik Stuff Mini Mart,"Grocery, Local",St Clair,2555 Caseyville Ave,"East St Louis, IL 62204",62204,"2555 Caseyville Ave, East St Louis, IL 62204"
Route 3 Liquor & Fuel,"Grocery, Local",St Clair,2400 Mississippi Ave,"East St Louis, IL 62201",62201,"2400 Mississippi Ave, East St Louis, IL 62201"
Shopwise,"Grocery, Local",St Clair,4715 Caseyville Ave,"East St Louis, IL 62204",62204,"4715 Caseyville Ave, East St Louis, IL 62204"
South End Meat Market,"Grocery, Local",St Clair,1901 Central Ave,"East St Louis, IL 62207",62207,"1901 Central Ave, East St Louis, IL 62207"
St Clair Food Market,"Grocery, Local",St Clair,3793 St Clair Ave,"East St Louis, IL 62205",62205,"3793 St Clair Ave, East St Louis, IL 62205"
Switzer Foods & Supplies,"Grocery, Local",St Clair,575 N 20th St,"East St Louis, IL 62205",62205,"575 N 20th St, East St Louis, IL 62205"
Tienda El Maguey,"Grocery, Local",St Clair,8402 Collinsville Rd,"East St Louis, IL 62201",62201,"8402 Collinsville Rd, East St Louis, IL 62201"
Washington Park Market,"Grocery, Local",St Clair,4412 Bunkum Rd,"East St Louis, IL 62204",62204,"4412 Bunkum Rd, East St Louis, IL 62204"
We Shop 4 U Delivery,"Grocery, Local",St Clair,118 Circle Creek Ln,"East St Louis, IL 62206",62206,"118 Circle Creek Ln, East St Louis, IL 62206"
Amp 1 Thomas Terry Apts.,Public Housing,St. Clair,600 S 6th St,"Brooklyn, IL 62059",62059,"600 S 6th St Brooklyn, IL 62059"
Amp 3 Ernest Smith Sr. Apts.,Public Housing,St. Clair,4701 Bates St,"Centreville, IL 62207",62207,"4701 Bates St Centreville, IL 62207"
Central City Apartments,Public Housing,St. Clair,1404A Walter St,"East Saint Louis, IL 62205",62205,"1404A Walter St East Saint Louis, IL 62205"
John Deshields Homes,Public Housing,St. Clair,1235 McCasland Ave,"E St Louis, IL 62201",62201,"1235 McCasland Ave E St Louis, IL 62201"
Orr-Weathers Apts,Public Housing,St. Clair,1008 Division Ave,"E St Louis, IL 62201",62201,"1008 Division Ave E St Louis, IL 62201"
Orr-Weathers Apts,Public Housing,St. Clair,1400 Missouri Ave,"E St Louis, IL 62201",62201,"1400 Missouri Ave E St Louis, IL 62201"
Roosevelt Homes,Public Housing,St. Clair,1328 N 44th St,"East Saint Louis, IL 62204",62204,"1328 N 44th St East Saint Louis, IL 62204"
Samuel Gompers Homes,Public Housing,St. Clair,450 N 6th St,"E St Louis, IL 62201",62201,"450 N 6th St E St Louis, IL 62201"
Turnkey-Scattered Sites,Public Housing,St. Clair,1832 Russell Ave,"East Saint Louis, IL 62207",62207,"1832 Russell Ave East Saint Louis, IL 62207"
Bridgedale Cleaners,Laundry,St Clair,2608 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2608 Camp Jackson Rd, East St Louis, IL 62206"
Bunkum Road Laundry,Laundry,St Clair,4125 Bunkum Rd,"East St Louis, IL 62204",62204,"4125 Bunkum Rd, East St Louis, IL 62204"
Bynum Carpet Cleaning,Laundry,St Clair,7201 James Ct,"East St Louis, IL 62203",62203,"7201 James Ct, East St Louis, IL 62203"
Cahokia Village Laundry,Laundry,St Clair,1018 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1018 Camp Jackson Rd, East St Louis, IL 62206"
EZ Clean Laundry Mat,Laundry,St Clair,1327 Missouri Ave,"East St Louis, IL 62201",62201,"1327 Missouri Ave, East St Louis, IL 62201"
Le Ann Furs Suede & Leather Services,Laundry,St Clair,334 Collinsville Ave,"East St Louis, IL 62201",62201,"334 Collinsville Ave, East St Louis, IL 62201"
New York Cleaners,Laundry,St Clair,2200 Bond Ave,"East St Louis, IL 62207",62207,"2200 Bond Ave, East St Louis, IL 62207"
New York Cleaners,Laundry,St Clair,5900 State St,"East St Louis, IL 62203",62203,"5900 State St, East St Louis, IL 62203"
Penny Wash Laundromat,Laundry,Madison,5703 Collinsville Rd,"East St Louis, IL 62201",62201,"5703 Collinsville Rd, East St Louis, IL 62201"
Pride Cleaning & Restoration,Laundry,St Clair,4822 McCasland Ave,"East St Louis, IL 62207",62207,"4822 McCasland Ave, East St Louis, IL 62207"
Pure Clean,Laundry,St Clair,1621 N 51st St,"East St Louis, IL 62204",62204,"1621 N 51st St, East St Louis, IL 62204"
Speedy Cleaners,Laundry,St Clair,309 N 9th St,"East St Louis, IL 62201",62201,"309 N 9th St, East St Louis, IL 62201"
Allen's Packaged Liquor,Liquor Store,St Clair,1820 E Broadway,"East St Louis, IL 62205",62205,"1820 E Broadway, East St Louis, IL 62205"
Bar That Sit on Bond,Liquor Store,St Clair,4301 Bond Ave,"East St Louis, IL 62207",62207,"4301 Bond Ave, East St Louis, IL 62207"
C & H,Liquor Store,St Clair,1301 N 15th St,"East St Louis, IL 62205",62205,"1301 N 15th St, East St Louis, IL 62205"
Express Market,Liquor Store,St Clair,1436 Piggott Ave,"East St Louis, IL 62201",62201,"1436 Piggott Ave, East St Louis, IL 62201"
Express Stop,Liquor Store,St Clair,2201 State St,"East St Louis, IL 62205",62205,"2201 State St, East St Louis, IL 62205"
Moe's Liquor,Liquor Store,St Clair,1601 Kingshighway,"East St Louis, IL 62204",62204,"1601 Kingshighway, East St Louis, IL 62204"
One Stop Liquor,Liquor Store,St Clair,2500 St Clair Ave,"East St Louis, IL 62205",62205,"2500 St Clair Ave, East St Louis, IL 62205"
Pops,Liquor Store,St Clair,1032 Bond Ave,"East St Louis, IL 62201",62201,"1032 Bond Ave, East St Louis, IL 62201"
Pops Liquor,Liquor Store,St Clair,4607 Bond Ave,"East St Louis, IL 62207",62207,"4607 Bond Ave, East St Louis, IL 62207"
Rainbow Liquor Mart,Liquor Store,St Clair,4510 State St,"East St Louis, IL 62205",62205,"4510 State St, East St Louis, IL 62205"
Regal Package Liquor,Liquor Store,St Clair,1805 State St,"East St Louis, IL 62205",62205,"1805 State St, East St Louis, IL 62205"
Riff's Package Liquor,Liquor Store,St Clair,506 N 27th St,"East St Louis, IL 62205",62205,"506 N 27th St, East St Louis, IL 62205"
Riverside Liquor,Liquor Store,St Clair,3800 Bunkum Rd,"East St Louis, IL 62204",62204,"3800 Bunkum Rd, East St Louis, IL 62204"
South End Quick Stop,Liquor Store,St Clair,815 S 15th St,"East St Louis, IL 62207",62207,"815 S 15th St, East St Louis, IL 62207"
